Date,Open,High,Low,Close,Adj Close,Volume
85,213.350006,214.779999,209.779999,210.949997,210.949997,2968400
86,212.809998,213.800003,210.009995,210.619995,210.619995,3442500
87,208.919998,209.979996,204.960007,206.660004,206.660004,4591300
88,203.050003,204.470001,199.25,202.210007,202.210007,5944200
89,203.320007,207.610001,200.910004,204.25,204.25,4477300
90,185.830002,195.199997,185,192.690002,192.690002,11551900
91,194.490005,195.75,190,191.869995,191.869995,5216500
92,190.699997,194.490005,189.649994,193.070007,193.070007,3603200
93,193.869995,194.119995,187.039993,191.929993,191.929993,4489400
94,189.550003,198.679993,189.509995,196.570007,196.570007,4153000
95,197,203.240005,195.199997,201.619995,201.619995,4116900
96,200.289993,203.5,198.330002,201.289993,201.289993,3438600
97,201.830002,208.619995,201.050003,206.550003,206.550003,3234500
98,204.419998,208.029999,203.300003,205.979996,205.979996,2781000
99,206.110001,206.369995,198.419998,199.369995,199.369995,3149600
100,201.070007,205.979996,196.5,205.199997,205.199997,3548100
101,203.960007,207.470001,203,203.600006,203.600006,3007000
102,203.970001,211.949997,203.300003,210.940002,210.940002,4149200
103,213.220001,220.369995,211.270004,218.360001,218.360001,4812900
104,218.289993,221.479996,216.800003,218.550003,218.550003,3305400
105,219.880005,225.479996,219.639999,220.990005,220.990005,3522900
106,222,223.399994,216.5,217.360001,217.360001,3233200
107,215.380005,217.929993,211.990005,217.479996,217.479996,3472400
108,217.550003,220.5,215,216.289993,216.289993,5390500
109,212.210007,214.740005,207.279999,212.800003,212.800003,9769100
110,193.570007,203.089996,193.279999,202.880005,202.880005,15649600
111,202.899994,205.990005,200.910004,203.770004,203.770004,6191000
112,205.699997,205.699997,201.5,204.350006,204.350006,3979600
113,204.169998,206.169998,202.600006,204.460007,204.460007,2708800
114,205,212.440002,203.75,211.710007,211.710007,5154100
115,210.779999,217.600006,209.809998,217.110001,217.110001,5982100
116,215.660004,218.199997,206.330002,207.339996,207.339996,8499800
117,207.289993,207.289993,201.699997,204.110001,204.110001,6584900
118,204.940002,207.139999,202.580002,203.759995,203.759995,3909500
119,204,211.089996,202.220001,207.190002,207.190002,6472900
120,206.899994,208.550003,202.800003,203.339996,203.339996,3882100
121,202.699997,203.339996,195.830002,197.330002,197.330002,7922100
122,196.809998,200.240005,195.320007,199.559998,199.559998,4432300
123,199.25,202.520004,197.210007,202.440002,202.440002,4212000
124,202.850006,206.190002,200.149994,200.630005,200.630005,4877000
125,199.210007,200.75,192.149994,193.880005,193.880005,6712400
126,194.389999,194.490005,188.25,190.880005,190.880005,6736700
127,188.460007,193.5,187.600006,190.320007,190.320007,5530900
128,191.149994,196.179993,191.009995,193.740005,193.740005,4974900
129,193.75,194.449997,189.75,191.070007,191.070007,4149300
130,188.949997,191.75,187.320007,188.679993,188.679993,5434300
131,192,195.910004,189.800003,195.699997,195.699997,5628800
132,195.429993,198.710007,193.940002,194.729996,194.729996,4883200
133,194.960007,200.880005,193.110001,200.710007,200.710007,4756300
134,202,204.589996,194.529999,195.649994,195.649994,8475200
135,197.449997,198.990005,195.619995,198.080002,198.080002,4269500
136,198.5,200.5,197.470001,199.630005,199.630005,2620900
137,201.580002,203.789993,199.75,201.720001,201.720001,3649900
138,198.270004,198.589996,192.699997,194.300003,194.300003,5730400
139,193.919998,194.789993,189.699997,190.410004,190.410004,4128000
140,189.070007,189.289993,181.399994,185,185,8526900
141,185.850006,192.25,181.800003,190.570007,190.570007,10089500
142,193.529999,193.759995,188.410004,188.770004,188.770004,5026600
143,188.699997,192.300003,186.050003,187.589996,187.589996,3786000
144,190.229996,193.229996,190,191,191,5010400
145,198,207.75,197.5,203.100006,203.100006,12455800
146,202.509995,205.059998,201.139999,203.25,203.25,4347900
147,208.199997,210.899994,205.869995,207.669998,207.669998,6303100
148,208.429993,210.369995,206.119995,210.089996,210.089996,3800200
149,209.850006,211.649994,209,210.899994,210.899994,4067700
150,210.440002,213,209.050003,209.779999,209.779999,3758200
151,208.570007,209.490005,205.5,207.460007,207.460007,3017000
152,207.460007,209.589996,206.600006,207.830002,207.830002,1952400
153,207.699997,209.169998,206.289993,206.699997,206.699997,1659100
154,204.990005,206.880005,203.5,206.789993,206.789993,2469900
155,206.779999,207.850006,203.850006,205.270004,205.270004,2554700
156,205.800003,210.75,204.309998,209.410004,209.410004,3432500
157,212.5,221.880005,211.690002,219.440002,219.440002,7863000
158,218.270004,221.479996,217.149994,218.600006,218.600006,4411200
159,220.5,220.800003,218.009995,218.429993,218.429993,2427800
160,222.559998,238.75,222,231.550003,231.550003,11672600
161,234.75,235.5,228.029999,230.479996,230.479996,6085400
162,230.050003,234.970001,227.630005,232.449997,232.449997,3936100
